Model,TBS2204B
Firmware Version,v1.31.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-1.8810e-01,0.7
-1.8806e-01,0.7
-1.8803e-01,0.5
-1.8800e-01,0.7
-1.8797e-01,0.7
-1.8794e-01,0.7
-1.8790e-01,0.7
-1.8787e-01,0.7
-1.8784e-01,0.7
-1.8781e-01,0.9
-1.8778e-01,0.7
-1.8774e-01,0.7
-1.8771e-01,0.9
-1.8768e-01,0.9
-1.8765e-01,0.9
-1.8762e-01,0.9
-1.8758e-01,0.7
-1.8755e-01,0.7
-1.8752e-01,0.7
-1.8749e-01,0.9
-1.8746e-01,0.7
-1.8742e-01,0.7
-1.8739e-01,0.9
-1.8736e-01,0.7
-1.8733e-01,0.7
-1.8730e-01,0.9
-1.8726e-01,0.7
-1.8723e-01,0.7
-1.8720e-01,0.9
-1.8717e-01,0.9
-1.8714e-01,0.9
-1.8710e-01,0.9
-1.8707e-01,0.9
-1.8704e-01,0.7
-1.8701e-01,0.7
-1.8698e-01,0.9
-1.8694e-01,0.9
-1.8691e-01,0.5
-1.8688e-01,0.9
-1.8685e-01,0.7
-1.8682e-01,0.9
-1.8678e-01,0.9
-1.8675e-01,0.9
-1.8672e-01,0.9
-1.8669e-01,0.7
-1.8666e-01,0.7
-1.8662e-01,0.9
-1.8659e-01,0.7
-1.8656e-01,0.9
-1.8653e-01,0.9
-1.8650e-01,0.9
-1.8646e-01,0.9
-1.8643e-01,0.9
-1.8640e-01,0.9
-1.8637e-01,0.9
-1.8634e-01,0.7
-1.8630e-01,0.7
-1.8627e-01,0.7
-1.8624e-01,0.9
-1.8621e-01,0.9
-1.8618e-01,0.7
-1.8614e-01,0.9
-1.8611e-01,0.7
-1.8608e-01,0.7
-1.8605e-01,0.9
-1.8602e-01,0.7
-1.8598e-01,0.9
-1.8595e-01,0.9
-1.8592e-01,0.7
-1.8589e-01,0.9
-1.8586e-01,0.7
-1.8582e-01,0.9
-1.8579e-01,0.9
-1.8576e-01,0.5
-1.8573e-01,0.9
-1.8570e-01,0.9
-1.8566e-01,0.5
-1.8563e-01,0.7
-1.8560e-01,0.5
-1.8557e-01,0.9
-1.8554e-01,0.7
-1.8550e-01,0.7
-1.8547e-01,0.9
-1.8544e-01,0.9
-1.8541e-01,0.7
-1.8538e-01,0.9
-1.8534e-01,0.7
-1.8531e-01,0.9
-1.8528e-01,0.9
-1.8525e-01,0.7
-1.8522e-01,0.9
-1.8518e-01,0.9
-1.8515e-01,0.7
-1.8512e-01,0.9
-1.8509e-01,0.7
-1.8506e-01,0.9
-1.8502e-01,0.9
-1.8499e-01,0.9
-1.8496e-01,0.9
-1.8493e-01,0.5
-1.8490e-01,0.9
-1.8486e-01,0.9
-1.8483e-01,0.7
-1.8480e-01,1.1
-1.8477e-01,0.9
-1.8474e-01,0.7
-1.8470e-01,0.9
-1.8467e-01,0.9
-1.8464e-01,0.9
-1.8461e-01,0.9
-1.8458e-01,0.9
-1.8454e-01,0.7
-1.8451e-01,0.9
-1.8448e-01,0.9
-1.8445e-01,0.9
-1.8442e-01,0.9
-1.8438e-01,0.9
-1.8435e-01,0.9
-1.8432e-01,0.7
-1.8429e-01,1.1
-1.8426e-01,0.9
-1.8422e-01,0.9
-1.8419e-01,1.1
-1.8416e-01,0.9
-1.8413e-01,0.9
-1.8410e-01,0.9
-1.8406e-01,0.9
-1.8403e-01,1.1
-1.8400e-01,0.9
-1.8397e-01,0.7
-1.8394e-01,0.9
-1.8390e-01,0.9
-1.8387e-01,1.1
-1.8384e-01,0.9
-1.8381e-01,0.9
-1.8378e-01,0.7
-1.8374e-01,0.7
-1.8371e-01,0.7
-1.8368e-01,0.9
-1.8365e-01,0.9
-1.8362e-01,0.9
-1.8358e-01,0.7
-1.8355e-01,0.9
-1.8352e-01,0.9
-1.8349e-01,0.9
-1.8346e-01,0.9
-1.8342e-01,1.1
-1.8339e-01,0.9
-1.8336e-01,1.1
-1.8333e-01,0.9
-1.8330e-01,0.9
-1.8326e-01,0.9
-1.8323e-01,0.9
-1.8320e-01,0.9
-1.8317e-01,0.9
-1.8314e-01,0.9
-1.8310e-01,0.9
-1.8307e-01,0.9
-1.8304e-01,0.9
-1.8301e-01,0.9
-1.8298e-01,0.7
-1.8294e-01,0.9
-1.8291e-01,0.9
-1.8288e-01,0.9
-1.8285e-01,0.9
-1.8282e-01,0.9
-1.8278e-01,0.9
-1.8275e-01,0.9
-1.8272e-01,0.9
-1.8269e-01,1.1
-1.8266e-01,0.9
-1.8262e-01,0.9
-1.8259e-01,0.9
-1.8256e-01,1.1
-1.8253e-01,0.9
-1.8250e-01,0.9
-1.8246e-01,0.9
-1.8243e-01,0.9
-1.8240e-01,1.1
-1.8237e-01,0.9
-1.8234e-01,0.9
-1.8230e-01,0.7
-1.8227e-01,1.1
-1.8224e-01,0.9
-1.8221e-01,1.1
-1.8218e-01,0.7
-1.8214e-01,0.9
-1.8211e-01,0.9
-1.8208e-01,0.9
-1.8205e-01,0.9
-1.8202e-01,0.9
-1.8198e-01,0.9
-1.8195e-01,0.9
-1.8192e-01,0.9
-1.8189e-01,1.1
-1.8186e-01,0.9
-1.8182e-01,0.9
-1.8179e-01,0.9
-1.8176e-01,0.9
-1.8173e-01,0.9
-1.8170e-01,0.9
-1.8166e-01,0.9
-1.8163e-01,0.7
-1.8160e-01,0.9
-1.8157e-01,1.1
-1.8154e-01,0.7
-1.8150e-01,0.9
-1.8147e-01,1.1
-1.8144e-01,0.9
-1.8141e-01,0.9
-1.8138e-01,1.1
-1.8134e-01,0.9
-1.8131e-01,1.1
-1.8128e-01,0.9
-1.8125e-01,0.9
-1.8122e-01,0.9
-1.8118e-01,0.9
-1.8115e-01,0.9
-1.8112e-01,0.9
-1.8109e-01,0.9
-1.8106e-01,0.9
-1.8102e-01,1.1
-1.8099e-01,0.9
-1.8096e-01,0.7
-1.8093e-01,0.9
-1.8090e-01,0.9
-1.8086e-01,0.9
-1.8083e-01,0.9
-1.8080e-01,0.9
-1.8077e-01,0.9
-1.8074e-01,0.7
-1.8070e-01,0.9
-1.8067e-01,1.1
-1.8064e-01,0.7
-1.8061e-01,0.9
-1.8058e-01,1.1
-1.8054e-01,1.1
-1.8051e-01,0.9
-1.8048e-01,0.9
-1.8045e-01,0.9
-1.8042e-01,1.1
-1.8038e-01,1.1
-1.8035e-01,1.1
-1.8032e-01,0.9
-1.8029e-01,0.9
-1.8026e-01,0.9
-1.8022e-01,1.1
-1.8019e-01,0.9
-1.8016e-01,0.9
-1.8013e-01,1.1
-1.8010e-01,0.9
-1.8006e-01,1.1
-1.8003e-01,0.9
-1.8000e-01,0.9
-1.7997e-01,1.1
-1.7994e-01,0.7
-1.7990e-01,1.1
-1.7987e-01,0.9
-1.7984e-01,0.9
-1.7981e-01,1.1
-1.7978e-01,0.7
-1.7974e-01,1.1
-1.7971e-01,1.1
-1.7968e-01,1.1
-1.7965e-01,1.1
-1.7962e-01,1.1
-1.7958e-01,0.9
